epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.125,0.86855,4.96471,1.57663,0.8503,0.81985,0.90182,0.67038,0.99181,0.912,1.75643,6.64188e-05,6.64188e-05,6.64188e-05
2,193.568,0.62106,1.11359,1.29509,0.87038,0.83426,0.93821,0.70976,0.93677,0.72431,1.73476,0.00011991,0.00011991,0.00011991
3,283.826,0.54714,0.67429,1.21765,0.90976,0.90297,0.94439,0.68514,0.99729,0.62711,1.77583,0.000160201,0.000160201,0.000160201
4,373.996,0.50032,0.5034,1.17402,0.84075,0.92408,0.95769,0.71936,0.91682,0.65838,1.66627,0.0001406,0.0001406,0.0001406
5,464.256,0.45644,0.41269,1.11843,0.85914,0.9701,0.96645,0.72403,0.92704,0.49567,1.67439,0.0001208,0.0001208,0.0001208
6,553.652,0.40936,0.3359,1.07347,0.95722,0.93266,0.97869,0.74243,0.88136,0.43443,1.61209,0.000101,0.000101,0.000101
7,643.459,0.3662,0.29738,1.03938,0.95296,0.92247,0.98039,0.73863,0.87873,0.43247,1.61107,8.12e-05,8.12e-05,8.12e-05
8,732.629,0.33579,0.27017,1.01052,0.8925,0.98155,0.98708,0.75585,0.84858,0.4211,1.57333,6.14e-05,6.14e-05,6.14e-05
9,825.122,0.31205,0.24017,0.9928,0.94073,0.96783,0.98753,0.75641,0.83916,0.37199,1.57087,4.16e-05,4.16e-05,4.16e-05
10,914.048,0.29335,0.22295,0.97514,0.95534,0.96165,0.98652,0.7649,0.83744,0.40632,1.55538,2.18e-05,2.18e-05,2.18e-05
