epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5883,1.14828,4.3648,1.62563,0,0,0,0,0.64589,3.85525,1.35557,9.82703e-05,9.82703e-05,9.82703e-05
2,30.1941,0.85443,4.10764,1.37574,0.03361,0.31817,0.0968,0.07556,0.68166,3.65219,1.37748,0.000195325,0.000195325,0.000195325
3,42.9411,0.79154,3.85765,1.34285,0.69408,0.17275,0.24355,0.17926,0.84412,2.72907,1.52732,0.00028838,0.00028838,0.00028838
4,55.5715,0.81166,3.56087,1.35215,0.58345,0.32064,0.3809,0.28883,0.81541,2.20066,1.49895,0.000285002,0.000285002,0.000285002
5,68.3503,0.85744,3.21974,1.36638,0.4544,0.402,0.43458,0.33371,0.752,2.00699,1.42388,0.000279002,0.000279002,0.000279002
6,80.6551,0.85249,2.86074,1.3644,0.48202,0.49433,0.52226,0.42136,0.75109,1.57654,1.41705,0.000273003,0.000273003,0.000273003
7,93.4132,0.83393,2.48523,1.33606,0.73327,0.4434,0.6035,0.49143,0.71918,1.45199,1.34478,0.000267004,0.000267004,0.000267004
8,106.247,0.79731,2.27202,1.30458,0.62271,0.61118,0.66562,0.52004,0.72244,1.42868,1.30795,0.000261004,0.000261004,0.000261004
9,119.071,0.82026,2.12228,1.33271,0.58438,0.77731,0.76227,0.60618,0.75867,1.36853,1.38136,0.000255005,0.000255005,0.000255005
10,131.732,0.78681,1.99221,1.31494,0.67297,0.72614,0.7696,0.62534,0.6869,1.16372,1.29521,0.000249005,0.000249005,0.000249005
11,144.017,0.78276,1.82745,1.2804,0.75232,0.735,0.82489,0.6619,0.69974,1.01579,1.3123,0.000243006,0.000243006,0.000243006
12,156.416,0.75118,1.78702,1.27113,0.63932,0.83719,0.80224,0.65752,0.66251,0.9641,1.27033,0.000237007,0.000237007,0.000237007
13,168.24,0.76039,1.65333,1.25605,0.77065,0.85857,0.84967,0.70595,0.6546,0.81717,1.23491,0.000231007,0.000231007,0.000231007
14,180.441,0.73306,1.57089,1.24664,0.80394,0.8181,0.84756,0.68243,0.70731,0.81058,1.2986,0.000225008,0.000225008,0.000225008
15,192.898,0.69912,1.49498,1.21372,0.78803,0.86182,0.84242,0.71117,0.64661,0.80229,1.21445,0.000219008,0.000219008,0.000219008
16,205.335,0.72291,1.45528,1.23502,0.80254,0.84763,0.84754,0.70134,0.68844,0.79293,1.25424,0.000213009,0.000213009,0.000213009
17,217.788,0.7066,1.38113,1.23081,0.80589,0.85802,0.84528,0.71766,0.64641,0.72829,1.2169,0.00020701,0.00020701,0.00020701
18,230.168,0.69977,1.36427,1.20503,0.80536,0.85502,0.84469,0.70864,0.63286,0.78264,1.1959,0.00020101,0.00020101,0.00020101
19,242.831,0.71711,1.36318,1.2276,0.79974,0.8148,0.84271,0.69293,0.65224,0.74741,1.24162,0.000195011,0.000195011,0.000195011
20,255.46,0.67668,1.27267,1.20229,0.80671,0.872,0.85029,0.72957,0.59802,0.67967,1.17303,0.000189011,0.000189011,0.000189011
21,267.989,0.67815,1.21429,1.20007,0.83333,0.86707,0.84124,0.71244,0.60603,0.67748,1.17904,0.000183012,0.000183012,0.000183012
22,280.825,0.6962,1.26572,1.20789,0.81826,0.85552,0.84716,0.69589,0.6344,0.718,1.19549,0.000177013,0.000177013,0.000177013
23,293.438,0.63674,1.21312,1.18446,0.88031,0.86389,0.8576,0.72259,0.6056,0.63848,1.1657,0.000171013,0.000171013,0.000171013
24,306.181,0.66004,1.19188,1.20303,0.88726,0.85428,0.85732,0.71738,0.60778,0.63109,1.17304,0.000165014,0.000165014,0.000165014
25,318.319,0.64945,1.154,1.18305,0.83326,0.86136,0.86175,0.73796,0.55993,0.5958,1.1291,0.000159014,0.000159014,0.000159014
26,330.305,0.65826,1.10772,1.18562,0.88695,0.87451,0.85916,0.73444,0.57483,0.61012,1.13524,0.000153015,0.000153015,0.000153015
27,342.561,0.64566,1.09512,1.1727,0.82074,0.86944,0.84526,0.73936,0.56183,0.64803,1.11813,0.000147016,0.000147016,0.000147016
28,354.752,0.62554,1.05486,1.15999,0.83522,0.87282,0.8442,0.72503,0.58986,0.60256,1.13992,0.000141016,0.000141016,0.000141016
29,366.786,0.61973,1.03185,1.15627,0.83151,0.86909,0.8472,0.73148,0.56007,0.58948,1.12315,0.000135017,0.000135017,0.000135017
30,378.992,0.62445,1.00897,1.16348,0.83611,0.87031,0.84853,0.7472,0.54256,0.58493,1.11093,0.000129017,0.000129017,0.000129017
31,391.18,0.62492,0.97719,1.15467,0.82688,0.87472,0.84743,0.74066,0.54288,0.58345,1.09411,0.000123018,0.000123018,0.000123018
