epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3208,1.22153,4.32585,1.69426,0,0,0,0,0.74709,3.81654,1.47786,7.326e-05,7.326e-05,7.326e-05
2,20.776,0.85955,4.14056,1.39124,0,0,0,0,0.5582,3.78149,1.25234,0.000146883,0.000146883,0.000146883
3,28.7001,0.78397,3.97503,1.32241,0.04663,0.58301,0.1229,0.09671,0.57078,3.60584,1.23297,0.000217473,0.000217473,0.000217473
4,37.0227,0.77677,3.80377,1.31997,0.05837,0.85566,0.34859,0.27739,0.56482,3.36711,1.22258,0.00028503,0.00028503,0.00028503
5,44.0696,0.7919,3.56935,1.32188,0.60637,0.24072,0.38689,0.30637,0.75963,2.88279,1.41019,0.000306626,0.000306626,0.000306626
6,52.377,0.78399,3.43587,1.30786,0.60088,0.40035,0.50524,0.40759,0.63494,2.50381,1.29342,0.000300033,0.000300033,0.000300033
7,60.1247,0.82694,3.23889,1.34891,0.73316,0.49824,0.66956,0.54073,0.73553,2.01056,1.38651,0.00029344,0.00029344,0.00029344
8,67.5417,0.83526,2.97941,1.32534,0.71886,0.70822,0.79973,0.62624,0.81811,1.61163,1.50821,0.000286846,0.000286846,0.000286846
9,75.9055,0.87746,2.82298,1.3603,0.77965,0.67273,0.84859,0.68085,0.76457,1.41978,1.34247,0.000280253,0.000280253,0.000280253
10,83.1073,0.83874,2.56774,1.31415,0.67016,0.68739,0.78026,0.64917,0.70193,1.3968,1.27496,0.000273659,0.000273659,0.000273659
11,91.4276,0.86981,2.43167,1.35101,0.56799,0.88861,0.84933,0.71243,0.64926,1.20935,1.26704,0.000267066,0.000267066,0.000267066
12,99.783,0.81264,2.21896,1.28558,0.80823,0.89543,0.9638,0.81541,0.67823,1.04929,1.25605,0.000260473,0.000260473,0.000260473
13,106.785,0.78989,2.06809,1.28485,0.83666,0.8643,0.95151,0.77946,0.71441,1.0104,1.32508,0.000253879,0.000253879,0.000253879
14,114.925,0.80903,1.97623,1.29348,0.85252,0.85468,0.94293,0.81256,0.60115,0.86674,1.21993,0.000247286,0.000247286,0.000247286
15,122.103,0.81351,1.92702,1.33377,0.87976,0.79961,0.92295,0.71298,0.85718,1.06446,1.47667,0.000240692,0.000240692,0.000240692
16,130.116,0.78329,1.85008,1.28523,0.88469,0.93491,0.97204,0.79875,0.6942,0.83734,1.25597,0.000234099,0.000234099,0.000234099
17,138.116,0.78061,1.7059,1.27573,0.9579,0.93413,0.995,0.82642,0.68598,0.69209,1.26279,0.000227506,0.000227506,0.000227506
18,145.291,0.7378,1.73531,1.25421,0.89738,0.96135,0.995,0.83064,0.64513,0.72671,1.23322,0.000220912,0.000220912,0.000220912
19,153.517,0.77791,1.64019,1.27546,0.91292,0.97601,0.99141,0.86173,0.54941,0.64048,1.1331,0.000214319,0.000214319,0.000214319
20,160.516,0.72118,1.54242,1.21511,0.90172,0.98632,0.995,0.83919,0.61266,0.63119,1.19495,0.000207725,0.000207725,0.000207725
